BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
666,STAFFORD HEIGHTS,FLOCKTON STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.3958104,153.0015928
667,STAFFORD HEIGHTS,SEDGEMOOR STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.3987785,153.0055074
668,STAFFORD HEIGHTS,GREY GUM PARK,TAP COMBINATION,TAP & BUBBLER OUTSIDE SMALL DOLA,-27.3907958,153.0038839
669,STAFFORD HEIGHTS,GREY GUM PARK,TAP COMBINATION,BUBBLER & TAP,-27.3923208,153.0040705
670,STAFFORD HEIGHTS,GREY GUM PARK,TAP COMBINATION,BUBBLER & TAP,-27.3919209,153.0041663
671,STAFFORD HEIGHTS,GREY GUM PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.3907088,153.0051345
672,BANYO,BANYO MEMORIAL PARK,TAP COMBINATION,BUBBLER & TAP,-27.3739656,153.0783787
673,BANYO,HILLTOP PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.3763822,153.0836784
674,BANYO,PATONGA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.3781571,153.0848972
675,CHERMSIDE,BURNIE BRAE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3894359,153.0356946
676,KEDRON,MERCER PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4111063,153.0386651
677,KEDRON,BENELONG PARK,TAP COMBINATION,BUBBLER & TAP,-27.4049587,153.0405503
678,NORTHGATE,NORTHGATE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3969024,153.0725515
679,NORTHGATE,PLAISTED PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3908972,153.0608702
680,NORTHGATE,PROGRESS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3899938,153.077746
681,NUDGEE,NUDGEE WATERHOLE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3740879,153.0958334
682,NUDGEE,ALEXANDER MACPHERSON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3715087,153.0885043
683,NUDGEE,REDWAY STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.3734752,153.0867476
684,NUDGEE BEACH,NUDGEE BEACH RESERVE,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.3435921,153.1006359
685,NUDGEE BEACH,NUDGEE BEACH RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3439354,153.1010314
686,NUDGEE BEACH,NUDGEE BEACH RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.3443118,153.101775
687,NUDGEE BEACH,NUDGEE BEACH RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3446187,153.1026028
688,NUDGEE BEACH,NUDGEE BEACH RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3452707,153.1038212
689,NUDGEE BEACH,BOONDALL WETLANDS,TAP COMBINATION,BUBBLER & TAP,-27.340788,153.0777879
