BID,Suburb,Park_Name,Item_Type,Item_Description,Latitude,Longitude
1021,KEPERRA,OXFORD GROVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.3986524,152.9613353
1022,KEPERRA,OXFORD GROVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.3988944,152.9613974
1023,KEPERRA,OXFORD GROVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.3985826,152.9615721
1024,KEPERRA,OXFORD GROVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.39831,152.9616497
1025,KEPERRA,OXFORD GROVE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.3982132,152.9640929
1026,KEPERRA,GROVELY SPORTSGROUND PARK,TAP COMBINATION,BUBBLER & TAP,-27.4040303,152.9590257
1027,KEPERRA,JURAYELBA PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4078967,152.9607241
1028,KEPERRA,DASH STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.409651,152.9553607
1029,KEPERRA,DASH STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4088232,152.9547424
1030,KEPERRA,DASH STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4090482,152.954877
1031,KEPERRA,KINGS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4163934,152.9427637
1032,KEPERRA,KINDILAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.414623,152.9415388
1033,KEPERRA,KINDILAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4155086,152.9424993
1034,KEPERRA,KINDILAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4156192,152.9433499
1035,KEPERRA,BUNDARA PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4181025,152.9392899
1036,KEPERRA,KERYN PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4208706,152.9456864
1037,KEPERRA,KERYN PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4207545,152.9459079
1038,MITCHELTON,FENWICK PARK,TAP COMBINATION,BUBBLER & TAP,-27.4121166,152.971135
1039,MITCHELTON,SID LODER PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4170653,152.9775009
1040,MITCHELTON,MITCHELTON PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4145138,152.9785623
1041,MITCHELTON,MITCHELTON PARK,TAP COMBINATION,BUBBLER & TAP,-27.4147503,152.9795193
1042,MITCHELTON,MITCHELTON PARK,TAP COMBINATION,BUBBLER & TAP,-27.4159245,152.9798041
1043,MITCHELTON,MCCONAGHY STREET PARK (NOS.171-235),TAP COMBINATION,BUBBLER & TAP,-27.4027862,152.978182
1044,MITCHELTON,ST HELENS ROAD PARK (NOS.16-70),TAP COMBINATION,BUBBLER & TAP,-27.4026037,152.9722739
1045,MITCHELTON,LOCKROSE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4148429,152.9659771
1046,NEWMARKET,NELSON PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4310125,153.0023135
1047,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4100136,152.9232439
1048,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4113401,152.9225265
1049,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4112221,152.9232273
1050,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4102165,152.9233285
1051,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4122335,152.9233948
1052,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4114101,152.9234626
1053,UPPER KEDRON,UPPER KEDRON RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4098743,152.9234969
1054,UPPER KEDRON,JULATTEN PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4115469,152.9267592
1055,UPPER KEDRON,JULATTEN PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4154985,152.9270198
1056,UPPER KEDRON,SELKIRK CRESCENT PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4102438,152.9177087
1057,CORINDA,FRANCIS OUTLOOK PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.537017,152.9762632
1058,CORINDA,FRANCIS OUTLOOK PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.5367252,152.9766759
1059,JAMBOREE HEIGHTS,JAMBOREE PARK,TAP COMBINATION,BUBBLER & TAP,-27.558468,152.9331572
1060,JAMBOREE HEIGHTS,PHIL DENMAN PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5516218,152.9296771
1061,JAMBOREE HEIGHTS,PHIL DENMAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5522969,152.9296879
1062,JINDALEE,JINDALEE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5298466,152.9371292
1063,JINDALEE,PIONEER BELZ PARK,TAP COMBINATION,TAP COMBINATION,-27.5297383,152.9463711
1064,JINDALEE,PIONEER BELZ PARK,TAP COMBINATION,TAP COMBINATION,-27.528871,152.9464151
1065,JINDALEE,AMAZONS PLACE PARK,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5344576,152.956315
1066,JINDALEE,AMAZONS PLACE PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5288984,152.9471427
1067,JINDALEE,AMAZONS PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5296614,152.947393
1068,JINDALEE,AMAZONS PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.528983,152.9476414
1069,MIDDLE PARK,HORIZON DRIVE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5506878,152.9201208
1070,MIDDLE PARK,HORIZON DRIVE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5516078,152.9203868
1071,MOUNT OMMANEY,MT OMMANEY BUSHLAND RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5434319,152.9259703
1072,MOUNT OMMANEY,MT OMMANEY BUSHLAND RESERVE,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5381872,152.9295412
1073,MOUNT OMMANEY,ARRABRI AVENUE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5470807,152.9319364
1074,MOUNT OMMANEY,LORIKEET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5495718,152.9347504
1075,MOUNT OMMANEY,LORIKEET PARK,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.5495587,152.9348785
1076,MOUNT OMMANEY,LORIKEET PARK,TAP COMBINATION,TAP COMBINATION,-27.5486333,152.9357538
1077,OXLEY,FORT ROAD BUSHLANDS,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5466649,152.9652982
1078,RIVERHILLS,TIGRIS STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.558234,152.9084187
1079,RIVERHILLS,KARUMBA PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5595113,152.9032199
1080,RIVERHILLS,WOLSTON CREEK BUSHLAND RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.5658443,152.9027906
1081,RIVERHILLS,WOLSTON CREEK BUSHLAND RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.5635274,152.9029155
1082,SINNAMON PARK,PORTADOWN PARK,TAP COMBINATION,TAP COMBINATION,-27.5474739,152.945119
1083,SINNAMON PARK,AVONDALE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5442601,152.9450628
1084,SINNAMON PARK,AVONDALE PARK,TAP COMBINATION,TAP COMBINATION,-27.5450991,152.944795
1085,SINNAMON PARK,AVONDALE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5445585,152.9452026
1086,SINNAMON PARK,ROSEMOUNT PARK,TAP COMBINATION,TAP COMBINATION,-27.5487214,152.9488041
1087,SINNAMON PARK,ROSEMOUNT PARK,TAP COMBINATION,BUBBLER & TAP,-27.5483008,152.9492121
1088,SINNAMON PARK,ROSEMOUNT PARK,TAP COMBINATION,BUBBLER & TAP,-27.5479441,152.9504491
1089,SINNAMON PARK,THOMAS MACLEOD PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5392421,152.9553234
1090,SINNAMON PARK,SIR HERCULES SINNAMON PARK,TAP COMBINATION,TAP COMBINATION,-27.533538,152.9510587
1091,SEVENTEEN MILE ROCKS,MCPHERSON ROAD PARK,TAP COMBINATION,BUBBLER,-27.5488326,152.9534121
1092,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.542555,152.9591418
1093,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5412921,152.9593328
1094,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5418842,152.9597696
1095,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5430358,152.9600002
1096,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.5422813,152.9605277
1097,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5433374,152.9606961
1098,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.54217,152.9610966
1099,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5429977,152.9612486
1100,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5418527,152.9615208
1101,SEVENTEEN MILE ROCKS,ROCKS RIVERSIDE PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.5430236,152.9625888
1102,WESTLAKE,BARCOORAH STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5484056,152.9054298
1103,WESTLAKE,WENDOUREE CRESCENT PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5458895,152.9044578
1104,WESTLAKE,SEABROOK CIRCUIT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.550464,152.9145834
1105,ANSTEAD,ANSTEAD BUSHLAND RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5458651,152.8548133
1106,ANSTEAD,ANSTEAD BUSHLAND RESERVE,TAP COMBINATION,BUBBLER/TAP/DOG BOWL,-27.5431979,152.8612359
1107,BELLBOWRIE,BOOKER PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5639039,152.8900701
1108,BELLBOWRIE,BOOKER PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5651262,152.8915544
1109,BELLBOWRIE,BOOKER PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5615831,152.8933917
1110,BELLBOWRIE,BOOKER PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5623661,152.8941338
1111,BELLBOWRIE,BOOKER PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5625931,152.8937876
1112,BELLBOWRIE,BOOKER PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5646256,152.8915937
1113,BELLBOWRIE,BOOKER PLACE PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.5628648,152.8938711
1114,BELLBOWRIE,DIOSMA STREET PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.5593286,152.8822329
1115,BELLBOWRIE,FIDDLEWOOD CRESCENT PARK,TAP COMBINATION,2 TAPS 1 FOUNTAIN,-27.5667756,152.8791278
1116,BELLBOWRIE,PIONEER CRESCENT PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5614826,152.8722661
1117,BELLBOWRIE,LATHER ROAD PARK,TAP COMBINATION,1 TAP 1 FOUNTAIN,-27.5531744,152.9025192
1118,BROOKFIELD,THE RAFTING GROUND PARK,TAP COMBINATION,BUBBLER & TAP,-27.520122,152.923252
1119,BROOKFIELD,BROOKFIELD RECREATION RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4924586,152.9114773
1120,BROOKFIELD,BOYD TERRACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5047439,152.9145596
1121,BROOKFIELD,BLACKBUTT PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5058595,152.9249926
1122,BROOKFIELD,BLACKBUTT PLACE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5038091,152.9304585
1123,CHAPEL HILL,GOOLMAN STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4993323,152.9396392
1124,CHAPEL HILL,MERRI MERRI PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4852009,152.9393996
1125,CHAPEL HILL,CICADA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4953123,152.9420874
1126,CHUWAR,MT CROSBY SPORTSGROUND,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5404523,152.7955889
1127,CHUWAR,MT CROSBY SPORTSGROUND,TAP COMBINATION,BUBBLER & TAP,-27.5392575,152.7961723
1128,CHUWAR,MT CROSBY SPORTSGROUND,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5401147,152.7962417
1129,CHUWAR,MT CROSBY SPORTSGROUND,TAP COMBINATION,BUBBLER & TAP,-27.5393602,152.7963429
1130,KARANA DOWNS,KOOKABURRA PARK - WEST,TAP COMBINATION,BUBBLER & TAP,-27.5437306,152.8372048
1131,KARANA DOWNS,KOOKABURRA PARK - WEST,TAP COMBINATION,DISABLED DRINKING FOUNTAIN,-27.5435872,152.8390954
1132,KARANA DOWNS,KOOKABURRA PARK - WEST,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN DISABLED ACCESS,-27.5438031,152.8385142
1133,KARANA DOWNS,KOOKABURRA PARK - WEST,TAP COMBINATION,DISABLED FOUNTAIN,-27.5436923,152.8399723
1134,KARANA DOWNS,HERITAGE PARK,TAP COMBINATION,BUBBLER & TAP,-27.5437912,152.8320701
1135,KARANA DOWNS,ILLAWONG RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5534212,152.8180336
1136,KARANA DOWNS,KUPI PARK,TAP COMBINATION,BUBBLER & TAP,-27.5387655,152.8221365
1137,KARANA DOWNS,KUPI PARK,TAP COMBINATION,BUBBLER & TAP,-27.5414084,152.8241089
1138,KENMORE,DUMBARTON DRIVE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.511385,152.9280466
1139,KENMORE,BROOKFIELD ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.5057008,152.9330285
1140,KENMORE,CROMARTY STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5131785,152.9307849
1141,KENMORE,WAL COCKING PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5076863,152.9385275
1142,KENMORE,TWILIGHT STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5223729,152.9339888
1143,KENMORE,GUBBERLEY STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5112561,152.9437034
1144,KENMORE,HENRY CLARKSON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5170656,152.9458853
1145,KENMORE,PALM STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5149823,152.9331554
1146,KENMORE HILLS,CREEKSIDE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5035536,152.9184853
1147,KENMORE HILLS,MIRBELIA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.5043042,152.937956
1148,KENMORE HILLS,TUCKETT STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.5031127,152.9259073
1149,MOGGILL,LIVESAY ROAD PARK,TAP COMBINATION,BUBBLER & TAP,-27.5690691,152.8852083
1150,MOGGILL,WESTAWAY PARK (MOGGILL),BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5708028,152.8727815
1151,MOGGILL,WESTAWAY PARK (MOGGILL),BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.5698562,152.8733916
1152,MOGGILL,LANCEWOOD PLACE PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.566935,152.8681294
1153,MOGGILL,JARRAH STREET PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.5733129,152.8692552
1154,MOUNT CROSBY,PLATYPUS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.524142,152.8179663
1155,ASHGROVE,DORRINGTON PARK,TAP COMBINATION,BUBBLER & TAP,-27.4390865,152.9856681
1156,ASHGROVE,DORRINGTON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4394103,152.9858332
1157,ASHGROVE,DORRINGTON PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4392229,152.9877693
1158,ASHGROVE,ASHGROVE SPORTSGROUND PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4407895,152.9735915
1159,ASHGROVE,ASHGROVE SPORTSGROUND PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4406749,152.9747048
1160,ASHGROVE,STEWART PLACE PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4452667,152.991867
1161,ASHGROVE,SEILS PARK,TAP COMBINATION,BUBBLER & TAP,-27.4380391,152.9976578
1162,ASHGROVE,TENNIS AVENUE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.443289,153.001898
1163,ASHGROVE,CORBIE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.439254,152.9999284
1164,ASHGROVE,MONOPLANE STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4517717,152.9732566
1165,ASHGROVE,MONOPLANE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4514488,152.9739853
1166,ASHGROVE,MONOPLANE STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4523756,152.9742
1167,ASHGROVE,WILCANNIA PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4494138,152.9673846
1168,ASHGROVE,AMARINA AVENUE PARK (ROAD RESERVE),TAP COMBINATION,BUBBLER & TAP,-27.4436536,152.9873834
1169,ASHGROVE,JALOON STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4499851,152.976283
1170,ASHGROVE,ST JOHNS AVENUE PARK (NOS.7-27),TAP COMBINATION,BUBBLER & 2 TAPS,-27.4438873,152.9743169
1171,ASHGROVE,ST JOHNS AVENUE PARK (NOS.7-27),TAP COMBINATION,BUBBLER & TAP,-27.4436093,152.9749185
1172,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4577354,152.976397
1173,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4577483,152.9764017
1174,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4568565,152.9766237
1175,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4589706,152.9777749
1176,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4570669,152.9779597
1177,BARDON,BOWMAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4590002,152.9780588
1178,BARDON,JUBILEE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4521524,152.9813169
1179,BARDON,FLETCHER PARADE PARK (NOS.161-231),TAP COMBINATION,BUBBLER & 2 TAPS,-27.4515388,152.9808476
1180,BARDON,FLETCHER PARADE PARK (NOS.161-231),TAP COMBINATION,BUBBLER & 2 TAPS,-27.4512347,152.9813847
1181,NEWMARKET,FREE STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4443843,153.0028013
1182,RED HILL,GILBERT PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4493681,152.9971448
1183,RED HILL,GILBERT PARK,TAP COMBINATION,BUBBLER & TAP,-27.4490924,152.9973511
1184,RED HILL,WOOLCOCK PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4488192,152.998941
1185,RED HILL,WOOLCOCK PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.4494104,152.9991782
1186,RED HILL,WOOLCOCK PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4489984,152.9991541
1187,RED HILL,WOOLCOCK PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4497173,152.9992245
1188,THE GAP,PATEN PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4520538,152.9524115
1189,THE GAP,PATEN PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4517128,152.9528649
1190,THE GAP,PATEN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4515938,152.9533556
1191,THE GAP,ALFRED & LUCINDA BEST PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4487554,152.9537649
1192,THE GAP,CORRAMULLING PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4482571,152.9309554
1193,THE GAP,CORRAMULLING PARK,TAP COMBINATION,BUBBLER & TAP,-27.4497525,152.941369
1194,THE GAP,WALTON BRIDGE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4457131,152.9540312
1195,THE GAP,WALTON BRIDGE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4446785,152.9541141
1196,THE GAP,WALTON BRIDGE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4448908,152.9542706
1197,THE GAP,WALTON BRIDGE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4448484,152.9551316
1198,THE GAP,WALTON BRIDGE RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4457866,152.9551289
1199,THE GAP,WITTONGA PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4396968,152.9319579
1200,THE GAP,WITTONGA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4399541,152.9322685
1201,THE GAP,WITTONGA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4398059,152.9328325
1202,THE GAP,WITTONGA PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4388563,152.9342243
1203,THE GAP,WITTONGA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4391535,152.9347022
1204,THE GAP,TILQUIN STREET PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4365397,152.9458345
1205,THE GAP,RON WARD PARK,TAP COMBINATION,BUBBLER & TAP,-27.4319789,152.9419625
1206,THE GAP,ALAN WILLING PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4479607,152.959169
1207,THE GAP,ALLAMANDA STREET PARK,TAP COMBINATION,BUBBLER & TAP,-27.4500653,152.9352486
1208,THE GAP,BADRICK PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4322746,152.9389038
1209,THE GAP,DONEGAL PLACE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4329859,152.9417282
1210,AUCHENFLOWER,MOORLANDS PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4789837,152.997273
1211,TOOWONG,REGATTA PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4830537,152.9966885
1212,TOOWONG,REGATTA PARK,TAP COMBINATION,BUBBLER & TAP,-27.4811915,152.9975412
1213,AUCHENFLOWER,DUNMORE PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4748395,152.9987479
1214,BARDON,NORMAN BUCHAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4661894,152.9891952
1215,BARDON,NORMAN BUCHAN PARK,TAP COMBINATION,BUBBLER & TAP,-27.4655788,152.9896481
1216,BARDON,RAINWORTH PARK,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4670002,152.9829185
1217,PETRIE TERRACE,HARDGRAVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4624454,153.0146013
1218,PETRIE TERRACE,HARDGRAVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4624074,153.0147448
1219,PETRIE TERRACE,HARDGRAVE PARK,TAP COMBINATION,BUBBLER & TAP,-27.4617858,153.0148344
1220,BRISBANE CITY,E. E. MCCORMICK PLACE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4670588,153.0150017
1221,BRISBANE CITY,E. E. MCCORMICK PLACE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.466325,153.0154095
1222,KELVIN GROVE,BANCROFT PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4440935,153.0057503
1223,KELVIN GROVE,BANCROFT PARK,TAP COMBINATION,BUBBLER,-27.4435133,153.0063338
1224,KELVIN GROVE,MARSHALL PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4536073,153.0113816
1225,GORDON PARK,AMELIA PARK,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN DISABLED ACCESSIBLE,-27.4147277,153.034076
1226,MILTON,MILTON PARK,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4706585,153.0010532
1227,MILTON,MILTON PARK,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL NERIDA LANE HALF",-27.4712593,153.0011053
1228,MILTON,PARK ROAD PARK,BUBBLER/DRINKING FOUNTAIN,CONE TYPE,-27.4706972,153.0042119
1229,MILTON,BEDGOOD PARK,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4625067,153.0052645
1230,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,DRINKING FOUNTAIN TAP & DOG BOWL,-27.484822,152.9588531
1231,MOUNT COOT-THA,MT COOT-THA RESERVE,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN TAP & DOG BOWL,-27.484822,152.9588531
1232,MOUNT COOT-THA,MT COOT-THA RESERVE,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4678689,152.9697299
1233,MOUNT COOT-THA,MT COOT-THA RESERVE,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,-27.4786705,152.9290065
1234,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4699351,152.9416191
1235,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4679802,152.9442858
1236,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,BUBBLER & TAP,-27.4680052,152.9447092
1237,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4934083,152.9452346
1238,MOUNT COOT-THA,MT COOT-THA RESERVE,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4747286,152.9457566
